[rospy.client][INFO] 2017-03-30 15:25:19,144: init_node, name[/acrobot_control_node], pid[8758]
[xmlrpc][INFO] 2017-03-30 15:25:19,145: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2017-03-30 15:25:19,145: Started XML-RPC server [http://hancheol:38854/]
[rospy.init][INFO] 2017-03-30 15:25:19,145: ROS Slave URI: [http://hancheol:38854/]
[rospy.impl.masterslave][INFO] 2017-03-30 15:25:19,145: _ready: http://hancheol:38854/
[rospy.registration][INFO] 2017-03-30 15:25:19,146: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2017-03-30 15:25:19,147: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2017-03-30 15:25:19,246: registered with master
[rospy.rosout][INFO] 2017-03-30 15:25:19,247: initializing /rosout core topic
[rospy.rosout][INFO] 2017-03-30 15:25:19,250: connected to core topic /rosout
[rospy.simtime][INFO] 2017-03-30 15:25:19,251: initializing /clock core topic
[rospy.simtime][INFO] 2017-03-30 15:25:19,255: connected to core topic /clock
[rosout][INFO] 2017-03-30 15:25:21,016: /acrobot_control_node, u = 0.139742
[rosout][INFO] 2017-03-30 15:25:21,026: /acrobot_control_node, u = 0.151958
[rosout][INFO] 2017-03-30 15:25:21,036: /acrobot_control_node, u = 0.151958
[rosout][INFO] 2017-03-30 15:25:21,047: /acrobot_control_node, u = 0.160364
[rosout][INFO] 2017-03-30 15:25:21,060: /acrobot_control_node, u = 0.160364
[rosout][INFO] 2017-03-30 15:25:21,071: /acrobot_control_node, u = 0.162140
[rosout][INFO] 2017-03-30 15:25:21,083: /acrobot_control_node, u = 0.162140
[rosout][INFO] 2017-03-30 15:25:21,096: /acrobot_control_node, u = 0.155362
[rosout][INFO] 2017-03-30 15:25:21,106: /acrobot_control_node, u = 0.155362
[rosout][INFO] 2017-03-30 15:25:21,116: /acrobot_control_node, u = 0.139266
[rosout][INFO] 2017-03-30 15:25:21,129: /acrobot_control_node, u = 0.139266
[rosout][INFO] 2017-03-30 15:25:21,140: /acrobot_control_node, u = 0.114148
[rosout][INFO] 2017-03-30 15:25:21,149: /acrobot_control_node, u = 0.114148
[rosout][INFO] 2017-03-30 15:25:21,161: /acrobot_control_node, u = 0.081135
[rosout][INFO] 2017-03-30 15:25:21,172: /acrobot_control_node, u = 0.081135
[rosout][INFO] 2017-03-30 15:25:21,183: /acrobot_control_node, u = 0.042021
[rosout][INFO] 2017-03-30 15:25:21,193: /acrobot_control_node, u = 0.042021
[rosout][INFO] 2017-03-30 15:25:21,204: /acrobot_control_node, u = -0.000931
[rosout][INFO] 2017-03-30 15:25:21,214: /acrobot_control_node, u = -0.000931
[rosout][INFO] 2017-03-30 15:25:21,224: /acrobot_control_node, u = -0.045305
[rosout][INFO] 2017-03-30 15:25:21,234: /acrobot_control_node, u = -0.045305
[rosout][INFO] 2017-03-30 15:25:21,245: /acrobot_control_node, u = -0.088880
[rosout][INFO] 2017-03-30 15:25:21,256: /acrobot_control_node, u = -0.088880
[rosout][INFO] 2017-03-30 15:25:21,267: /acrobot_control_node, u = -0.129599
[rosout][INFO] 2017-03-30 15:25:21,278: /acrobot_control_node, u = -0.129599
[rosout][INFO] 2017-03-30 15:25:21,289: /acrobot_control_node, u = -0.165931
[rosout][INFO] 2017-03-30 15:25:21,300: /acrobot_control_node, u = -0.165931
[rosout][INFO] 2017-03-30 15:25:21,311: /acrobot_control_node, u = -0.197189
[rosout][INFO] 2017-03-30 15:25:21,322: /acrobot_control_node, u = -0.197189
[rosout][INFO] 2017-03-30 15:25:21,335: /acrobot_control_node, u = -0.222905
[rosout][INFO] 2017-03-30 15:25:21,346: /acrobot_control_node, u = -0.222905
[rosout][INFO] 2017-03-30 15:25:21,359: /acrobot_control_node, u = -0.243209
[rosout][INFO] 2017-03-30 15:25:21,372: /acrobot_control_node, u = -0.243209
[rosout][INFO] 2017-03-30 15:25:21,383: /acrobot_control_node, u = -0.258902
[rosout][INFO] 2017-03-30 15:25:21,391: /acrobot_control_node, u = -0.258902
[rosout][INFO] 2017-03-30 15:25:21,403: /acrobot_control_node, u = -0.271183
[rosout][INFO] 2017-03-30 15:25:21,414: /acrobot_control_node, u = -0.271183
[rosout][INFO] 2017-03-30 15:25:21,428: /acrobot_control_node, u = -0.281366
[rosout][INFO] 2017-03-30 15:25:21,439: /acrobot_control_node, u = -0.281366
[rosout][INFO] 2017-03-30 15:25:21,448: /acrobot_control_node, u = -0.290758
[rosout][INFO] 2017-03-30 15:25:21,461: /acrobot_control_node, u = -0.290758
[rosout][INFO] 2017-03-30 15:25:21,471: /acrobot_control_node, u = -0.300618
[rosout][INFO] 2017-03-30 15:25:21,482: /acrobot_control_node, u = -0.300618
[rosout][INFO] 2017-03-30 15:25:21,496: /acrobot_control_node, u = -0.311544
[rosout][INFO] 2017-03-30 15:25:21,506: /acrobot_control_node, u = -0.311544
[rosout][INFO] 2017-03-30 15:25:21,518: /acrobot_control_node, u = -0.324033
[rosout][INFO] 2017-03-30 15:25:21,529: /acrobot_control_node, u = -0.324033
[rosout][INFO] 2017-03-30 15:25:21,538: /acrobot_control_node, u = -0.338366
[rosout][INFO] 2017-03-30 15:25:21,550: /acrobot_control_node, u = -0.338366
[rosout][INFO] 2017-03-30 15:25:21,559: /acrobot_control_node, u = -0.354410
[rosout][INFO] 2017-03-30 15:25:21,570: /acrobot_control_node, u = -0.354410
[rosout][INFO] 2017-03-30 15:25:21,582: /acrobot_control_node, u = -0.371633
[rosout][INFO] 2017-03-30 15:25:21,592: /acrobot_control_node, u = -0.371633
[rosout][INFO] 2017-03-30 15:25:21,602: /acrobot_control_node, u = -0.389428
[rosout][INFO] 2017-03-30 15:25:21,614: /acrobot_control_node, u = -0.389428
[rosout][INFO] 2017-03-30 15:25:21,625: /acrobot_control_node, u = -0.407097
[rosout][INFO] 2017-03-30 15:25:21,634: /acrobot_control_node, u = -0.407097
[rosout][INFO] 2017-03-30 15:25:21,644: /acrobot_control_node, u = -0.424009
[rosout][INFO] 2017-03-30 15:25:21,655: /acrobot_control_node, u = -0.424009
[rosout][INFO] 2017-03-30 15:25:21,666: /acrobot_control_node, u = -0.439529
[rosout][INFO] 2017-03-30 15:25:21,679: /acrobot_control_node, u = -0.439529
[rosout][INFO] 2017-03-30 15:25:21,688: /acrobot_control_node, u = -0.452991
[rosout][INFO] 2017-03-30 15:25:21,697: /acrobot_control_node, u = -0.452991
[rosout][INFO] 2017-03-30 15:25:21,709: /acrobot_control_node, u = -0.463979
[rosout][INFO] 2017-03-30 15:25:21,720: /acrobot_control_node, u = -0.463979
[rosout][INFO] 2017-03-30 15:25:21,732: /acrobot_control_node, u = -0.472281
[rosout][INFO] 2017-03-30 15:25:21,744: /acrobot_control_node, u = -0.472281
[rosout][INFO] 2017-03-30 15:25:21,756: /acrobot_control_node, u = -0.477616
[rosout][INFO] 2017-03-30 15:25:21,767: /acrobot_control_node, u = -0.477616
[rosout][INFO] 2017-03-30 15:25:21,776: /acrobot_control_node, u = -0.480054
[rosout][INFO] 2017-03-30 15:25:21,787: /acrobot_control_node, u = -0.480054
[rosout][INFO] 2017-03-30 15:25:21,797: /acrobot_control_node, u = -0.479888
[rosout][INFO] 2017-03-30 15:25:21,809: /acrobot_control_node, u = -0.479888
[rosout][INFO] 2017-03-30 15:25:21,819: /acrobot_control_node, u = -0.477493
[rosout][INFO] 2017-03-30 15:25:21,830: /acrobot_control_node, u = -0.477493
[rosout][INFO] 2017-03-30 15:25:21,841: /acrobot_control_node, u = -0.473297
[rosout][INFO] 2017-03-30 15:25:21,852: /acrobot_control_node, u = -0.473297
[rosout][INFO] 2017-03-30 15:25:21,862: /acrobot_control_node, u = -0.467768
[rosout][INFO] 2017-03-30 15:25:21,873: /acrobot_control_node, u = -0.467768
[rosout][INFO] 2017-03-30 15:25:21,885: /acrobot_control_node, u = -0.461365
[rosout][INFO] 2017-03-30 15:25:21,895: /acrobot_control_node, u = -0.461365
[rosout][INFO] 2017-03-30 15:25:21,905: /acrobot_control_node, u = -0.454391
[rosout][INFO] 2017-03-30 15:25:21,915: /acrobot_control_node, u = -0.454391
[rosout][INFO] 2017-03-30 15:25:21,927: /acrobot_control_node, u = -0.447054
[rosout][INFO] 2017-03-30 15:25:21,937: /acrobot_control_node, u = -0.447054
[rosout][INFO] 2017-03-30 15:25:21,947: /acrobot_control_node, u = -0.439581
[rosout][INFO] 2017-03-30 15:25:21,961: /acrobot_control_node, u = -0.432062
[rosout][INFO] 2017-03-30 15:25:21,969: /acrobot_control_node, u = -0.432062
[rosout][INFO] 2017-03-30 15:25:21,979: /acrobot_control_node, u = -0.432062
[rosout][INFO] 2017-03-30 15:25:21,989: /acrobot_control_node, u = -0.424532
[rosout][INFO] 2017-03-30 15:25:22,000: /acrobot_control_node, u = -0.424532
[rosout][INFO] 2017-03-30 15:25:22,010: /acrobot_control_node, u = -0.416667
[rosout][INFO] 2017-03-30 15:25:22,021: /acrobot_control_node, u = -0.416667
[rosout][INFO] 2017-03-30 15:25:22,036: /acrobot_control_node, u = -0.408127
[rosout][INFO] 2017-03-30 15:25:22,044: /acrobot_control_node, u = -0.408127
[rosout][INFO] 2017-03-30 15:25:22,055: /acrobot_control_node, u = -0.398821
[rosout][INFO] 2017-03-30 15:25:22,065: /acrobot_control_node, u = -0.398821
[rosout][INFO] 2017-03-30 15:25:22,079: /acrobot_control_node, u = -0.388516
[rosout][INFO] 2017-03-30 15:25:22,091: /acrobot_control_node, u = -0.388516
[rosout][INFO] 2017-03-30 15:25:22,100: /acrobot_control_node, u = -0.377075
[rosout][INFO] 2017-03-30 15:25:22,110: /acrobot_control_node, u = -0.377075
[rosout][INFO] 2017-03-30 15:25:22,121: /acrobot_control_node, u = -0.364338
[rosout][INFO] 2017-03-30 15:25:22,136: /acrobot_control_node, u = -0.364338
[rosout][INFO] 2017-03-30 15:25:22,144: /acrobot_control_node, u = -0.350297
[rosout][INFO] 2017-03-30 15:25:22,154: /acrobot_control_node, u = -0.350297
[rosout][INFO] 2017-03-30 15:25:22,167: /acrobot_control_node, u = -0.335065
[rosout][INFO] 2017-03-30 15:25:22,179: /acrobot_control_node, u = -0.335065
[rosout][INFO] 2017-03-30 15:25:22,188: /acrobot_control_node, u = -0.318673
[rosout][INFO] 2017-03-30 15:25:22,200: /acrobot_control_node, u = -0.318673
[rosout][INFO] 2017-03-30 15:25:22,210: /acrobot_control_node, u = -0.301202
[rosout][INFO] 2017-03-30 15:25:22,220: /acrobot_control_node, u = -0.301202
[rosout][INFO] 2017-03-30 15:25:22,229: /acrobot_control_node, u = -0.282842
[rosout][INFO] 2017-03-30 15:25:22,242: /acrobot_control_node, u = -0.282842
[rosout][INFO] 2017-03-30 15:25:22,252: /acrobot_control_node, u = -0.263769
[rosout][INFO] 2017-03-30 15:25:22,262: /acrobot_control_node, u = -0.263769
[rosout][INFO] 2017-03-30 15:25:22,274: /acrobot_control_node, u = -0.244159
[rosout][INFO] 2017-03-30 15:25:22,283: /acrobot_control_node, u = -0.244159
[rosout][INFO] 2017-03-30 15:25:22,295: /acrobot_control_node, u = -0.224188
[rosout][INFO] 2017-03-30 15:25:22,305: /acrobot_control_node, u = -0.224188
[rosout][INFO] 2017-03-30 15:25:22,316: /acrobot_control_node, u = -0.203963
[rosout][INFO] 2017-03-30 15:25:22,327: /acrobot_control_node, u = -0.203963
[rosout][INFO] 2017-03-30 15:25:22,339: /acrobot_control_node, u = -0.183663
[rosout][INFO] 2017-03-30 15:25:22,349: /acrobot_control_node, u = -0.183663
[rosout][INFO] 2017-03-30 15:25:22,359: /acrobot_control_node, u = -0.163324
[rosout][INFO] 2017-03-30 15:25:22,373: /acrobot_control_node, u = -0.163324
[rosout][INFO] 2017-03-30 15:25:22,382: /acrobot_control_node, u = -0.142940
[rosout][INFO] 2017-03-30 15:25:22,392: /acrobot_control_node, u = -0.142940
[rosout][INFO] 2017-03-30 15:25:22,402: /acrobot_control_node, u = -0.122743
[rosout][INFO] 2017-03-30 15:25:22,414: /acrobot_control_node, u = -0.122743
[rosout][INFO] 2017-03-30 15:25:22,425: /acrobot_control_node, u = -0.102806
[rosout][INFO] 2017-03-30 15:25:22,435: /acrobot_control_node, u = -0.102806
[rosout][INFO] 2017-03-30 15:25:22,448: /acrobot_control_node, u = -0.083083
[rosout][INFO] 2017-03-30 15:25:22,457: /acrobot_control_node, u = -0.083083
[rosout][INFO] 2017-03-30 15:25:22,467: /acrobot_control_node, u = -0.063420
